,dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
56,dd-1781-D/Long/short,toto_v2_umup_capk1e4,3.026409403483073,3.026409403483073,1.4262957255045572,4.304528260698144,0.7962790171305338,1.1601349279434707,28.539631295697447,1.7396578409224823,0.967445542683613,0.7931809403718024,0.6016061659579498,"Database, Application Usage",1
57,dd-1783-D/Long/short,toto_v2_umup_capk1e4,0.5623455683390299,0.5623455683390299,0.5605733235677083,1.8964806170607786,0.7810123443603516,1.0794996086987545,21.20244209644039,0.7498970384919719,0.9069637612755782,0.6779859952989579,0.5812587795069161,Application Usage,2
58,dd-1784-D/Long/short,toto_v2_umup_capk1e4,0.2693037033081055,0.2693037033081055,0.4325011571248372,5.974004169421358,0.3440540313720703,0.2802357893338086,114.69525225307368,0.5189447979391503,0.3477700493608343,0.28983997789213656,0.35500731436338695,Application Usage,1
59,dd-1786-D/Long/short,toto_v2_umup_capk1e4,1.1633548736572266,1.1633548736572266,0.8058935801188151,2.443873866439977,2.537572224934896,1.256900435863304,19.459716723383963,1.078589297952296,0.9521927862006792,0.7114534280021328,0.5338892944417014,"Database, Application Usage",2
60,dd-1787-D/Long/short,toto_v2_umup_capk1e4,11.8478515625,11.8478515625,3.2443532307942706,43.02766357462375,2.2225941975911456,1.7968317917927275,784.0377512443047,3.442070824736179,1.6065887998164665,1.5143039840390118,1.306095574157657,"Database, Application Usage",1
61,dd-1789-D/Long/short,toto_v2_umup_capk1e4,0.7937732060750325,0.7937732060750325,0.6930181503295898,1.6372819095011162,1.4585070292154947,1.1451262848337316,16.140457384244947,0.8909395075284475,0.9258092154279466,0.7201415860587798,0.617774587354593,"Database, Application Usage",2
62,dd-1791-D/Long/short,toto_v2_umup_capk1e4,1.1968063354492187,1.1968063354492187,0.9069447835286458,2.3516088857148323,0.9068387985229492,1.3585172558066845,13.809006175640137,1.093986442077423,0.9100568933586551,0.7544621399316251,0.559673317085637,"Database, Application Usage",2
63,dd-1793-D/Long/short,toto_v2_umup_capk1e4,1.0410856246948241,1.0410856246948241,0.7273015340169271,1.8165811778944985,1.1922737121582032,1.1071064773562456,17.961977680046964,1.0203360351839115,1.4105550307635313,1.0054519318282196,0.8359162643386431,"Database, Application Usage",2
64,dd-1794-D/Long/short,toto_v2_umup_capk1e4,0.718752670288086,0.718752670288086,0.5701288223266602,1.256050783173835,2.714219156901042,0.9475605070839074,13.019360213462942,0.8477928227391914,1.3363735656081066,0.898692542226223,0.7218765604343723,"Database, Application Usage",1
65,dd-1795-D/Long/short,toto_v2_umup_capk1e4,4.317190551757813,4.317190551757813,1.524096171061198,3.3091790322793324,1.402110799153646,1.5894997411461145,24.119467997587982,2.0777850109570557,1.3009983479418845,0.9543078760308529,0.7596623890763643,"Database, Application Usage",1
