,dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
0,dd-1620-D/Long/short,toto_v2_umup_capk1e4,1.0164601126633122,1.0164601126633122,0.5491218868621999,1.3616882953411822,3.098137910487288,0.810768253316403,14.140889265386779,1.008196465309868,1.0592363694984874,0.576921159581041,0.47583492281455275,Database,59
1,dd-1621-D/Long/short,toto_v2_umup_capk1e4,1.072370849609375,1.072370849609375,0.4309564208984375,0.5382994807100462,0.8695147298177084,0.8421695770008771,7.021433596945763,1.035553402586933,1.9169322845751908,0.7977514963510907,0.6453083536293344,Application Usage,100
2,dd-1622-D/Long/short,toto_v2_umup_capk1e4,0.5657000829303075,0.5657000829303075,0.26164027622767855,0.7180491299789507,0.5477095346602182,0.4637292389184799,8.43462068758003,0.7521303629892278,1.8249146033623702,0.6348250042958224,0.530741498454046,"Networking, Application Usage",21
3,dd-1625-D/Long/short,toto_v2_umup_capk1e4,1.8198638916015626,1.8198638916015626,0.8665777842203776,1.0567239538797717,2.57454350789388,1.0552231546901305,11.224199123776422,1.3490233102513693,1.351313955385245,0.8680492355803836,0.6822794531066437,Application Usage,8
4,dd-1626-D/Long/short,toto_v2_umup_capk1e4,0.027742435534795124,0.027742435534795124,0.03318918546040853,0.17676273285252245,0.06658539772033692,0.10771161973558602,11.210513218682312,0.16656060619124535,1.369295979029062,0.27284853986425933,0.44159962868513186,Infrastructure,1
5,dd-1627-H/Medium/short,toto_v2_umup_capk1e4,2.866451609406795e-07,2.866451609406795e-07,0.00042148477708299953,0.0012769776713970667,0.0010721230258544285,0.0010717371065872524,0.08418861828096552,0.0005353925297766859,0.0013619398002530732,0.001072179496694816,0.0015500163375420793,Infrastructure,1
6,dd-1629-D/Long/short,toto_v2_umup_capk1e4,1.0610928133598663,1.0610928133598663,0.673939370209316,2.73305531228869,1.7798100309551887,0.8098579448093772,22.738902817408327,1.0300935944659915,0.8688084578713359,0.5684184700069661,0.4559188496609582,Infrastructure,53
7,dd-1630-D/Long/short,toto_v2_umup_capk1e4,0.3232097307840983,0.3232097307840983,0.4135141372680664,1.5263520338251704,1.3161444346110025,0.9464777256918535,16.70141456957766,0.56851537427241,1.1429002266885753,0.8312974857143441,0.7665903701776805,Infrastructure,1
8,dd-1633-D/Long/short,toto_v2_umup_capk1e4,1.3500801086425782,1.3500801086425782,0.901342264811198,3.0734916051544103,1.1223983764648438,1.7661693632265336,28.605210655783015,1.1619294766217863,1.258994845975313,0.976638676175346,0.8359119033959586,Infrastructure,1
9,dd-1640-D/Long/short,toto_v2_umup_capk1e4,0.33820374806722003,0.33820374806722003,0.46164398193359374,1.4751626960247317,0.40353577931722007,0.3119651142062053,24.224891271311076,0.5815528764155673,0.3776104052666,0.2997518852993588,0.32385388251707364,Infrastructure,2
10,dd-1641-30T/Short/short,toto_v2_umup_capk1e4,4.0851100803336435e-22,4.0851100803336435e-22,9.786949028978142e-12,,0.0,0.8666666666666667,,2.0211655252189623e-11,3.5667626915628745e-11,1.7271086521726134e-11,2.658092622082592e-11,Application Usage,30
11,dd-1642-30T/Short/short,toto_v2_umup_capk1e4,4.0851100803336435e-22,4.0851100803336435e-22,9.786949028978142e-12,,0.0,0.8666666666666667,,2.0211655252189623e-11,3.5667626915628745e-11,1.7271086521726134e-11,2.658092622082592e-11,Application Usage,30
12,dd-1643-30T/Short/short,toto_v2_umup_capk1e4,2.5139138955899344e-22,2.5139138955899344e-22,6.022737863986549e-12,,0.0,0.5333333333333333,,1.5855326851219228e-11,2.1620900251662584e-11,8.212824359981658e-12,1.2639881000113027e-11,Application Usage,30
13,dd-1646-D/Long/short,toto_v2_umup_capk1e4,0.9408461252848307,0.9408461252848307,0.8515206019083659,2.2359389522287305,0.8274238586425782,0.930882804988747,21.188757257343163,0.9699722291307266,0.772644621570414,0.6782903607565345,0.5558464454509942,Infrastructure,1
14,dd-1647-D/Long/short,toto_v2_umup_capk1e4,0.0001470348642518123,0.0001470348642518123,0.008658023675282796,0.047777571204476836,0.10437106291453044,0.0955275835299735,0.42865550972726163,0.012125793345254252,0.12728346114713263,0.09088256650152446,0.07561365538280156,Infrastructure,1
15,dd-1653-D/Long/short,toto_v2_umup_capk1e4,0.000753487894932429,0.000753487894932429,0.011552768945693969,0.04956771724294231,0.321697203318278,0.1260102743808826,1.0670705936277438,0.02744973396833618,0.23048583266090142,0.09700456744166679,0.09639979277780505,"Database, Application Usage",1
16,dd-1654-D/Long/short,toto_v2_umup_capk1e4,1.115761439005534,1.115761439005534,0.5000684420267741,1.1447814667650715,1.2027721405029297,0.8146679395762787,13.526520401898058,1.0562960943814637,1.686820190866399,0.7985692168253352,0.6720990622742627,"Database, Application Usage",1
17,dd-1656-D/Long/short,toto_v2_umup_capk1e4,3.9816408793131512,3.9816408793131512,0.8463652928670248,3.520869566769582,10.136092122395834,1.0539289518912172,54.12866521383565,1.995404941186914,2.2453997912032673,0.9524023984599786,0.8351196196355909,"Database, Application Usage",1
18,dd-1665-D/Long/short,toto_v2_umup_capk1e4,0.325070063273112,0.325070063273112,0.5027433077494303,1.2756507521006737,2.6965845743815104,1.6173732393657003,10.232638231255615,0.5701491587936546,1.7012850532919834,1.500150727094604,0.9817823101964372,Database,1
19,dd-1666-D/Long/short,toto_v2_umup_capk1e4,0.3251610438028971,0.3251610438028971,0.5028130849202473,1.2758471009339245,2.6956914265950522,1.6173776470985706,10.2337907958196,0.5702289398153141,1.7012397419148697,1.5001090668919577,0.9817530987463281,Database,1
20,dd-1667-D/Long/short,toto_v2_umup_capk1e4,3.7919921875,3.7919921875,1.5860074361165364,4.102422100643247,27.453983561197916,1.2469306502681017,20.554251341924026,1.9473038251644246,1.9044389824514192,1.551095596262757,1.166798275301674,Application Usage,1
21,dd-1668-D/Long/short,toto_v2_umup_capk1e4,0.2685955047607422,0.2685955047607422,0.4385652224222819,1.4011874471862238,1.5265978495279948,0.6270898039872956,8.954463723222032,0.5182620039716805,0.8066755525364293,0.6826273977439564,0.4645590035122074,Application Usage,4
22,dd-1671-D/Long/short,toto_v2_umup_capk1e4,0.9710751215616862,0.9710751215616862,0.7409075419108073,7.728489711615127,0.48931427001953126,0.8193368622052708,79.34849954147688,0.9854314393004143,0.9857772119087327,0.7411675148760205,0.6881609864232019,Database,1
23,dd-1674-D/Long/short,toto_v2_umup_capk1e4,3.6129445393880206,3.6129445393880206,1.0222306569417319,8.914088003645505,0.41497910817464195,0.6640466205995927,234.83993219261325,1.9007747208409578,1.4650353483734553,0.7878913951191822,0.7419234014588783,Database,2
