,dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
0,dd-1620-D/Long/short,toto_v2_umup_capk1e4,1.097010656669315,1.097010656669315,0.5789549401924435,1.4617246638666141,3.019822011829096,0.859750527970937,16.272528003298646,1.0473827651194738,1.1004064741086528,0.6082645099972416,0.5046464187331011,Database,59
1,dd-1621-D/Long/short,toto_v2_umup_capk1e4,1.0716593424479166,1.0716593424479166,0.43327250162760417,0.5422285172977318,0.9554022623697916,0.8582432234177456,7.046464164058464,1.0352098060045203,1.916296246510856,0.8020388367357884,0.660642369359596,Application Usage,100
2,dd-1622-D/Long/short,toto_v2_umup_capk1e4,0.5476047092013889,0.5476047092013889,0.2753115941607763,0.7841242660997283,0.6466685461619543,0.563947440258645,8.329889252366328,0.7400031818859896,1.7954900900307147,0.6679960993227058,0.5508890896109337,"Networking, Application Usage",21
3,dd-1625-D/Long/short,toto_v2_umup_capk1e4,1.6122918446858725,1.6122918446858725,0.8093732198079427,1.001817805680445,2.7459950764973957,1.0212350967286978,14.274090694034673,1.2697605461999015,1.2719166029516549,0.8107475376669105,0.6944988611993922,Application Usage,8
4,dd-1626-D/Long/short,toto_v2_umup_capk1e4,0.028003543615341187,0.028003543615341187,0.0380541721979777,0.20267324750929352,0.11484409968058268,0.14672079845125677,7.1364267678988424,0.16734259354791053,1.3757247028889148,0.3128436319218273,0.34569995121113356,Infrastructure,1
5,dd-1627-H/Medium/short,toto_v2_umup_capk1e4,1.884576401304609e-06,1.884576401304609e-06,0.0011172609714170296,0.003392612611122122,0.0028420534605781236,0.002840865067567533,0.5002822729842876,0.0013727987475608393,0.0034921466924847156,0.002842105744129351,0.00537265207341212,Infrastructure,1
6,dd-1629-D/Long/short,toto_v2_umup_capk1e4,1.1007175277613994,1.1007175277613994,0.6857366597877359,2.8252589611191814,1.6717862495086477,0.8267854904968099,23.32079086342862,1.0491508603444022,0.8848818650529904,0.5783686192174385,0.46693954082086847,Infrastructure,53
7,dd-1630-D/Long/short,toto_v2_umup_capk1e4,0.3323312441507975,0.3323312441507975,0.43185532887776695,1.5940527256780581,1.4533707936604818,0.9860280402954111,14.32604007594504,0.576481781282633,1.1589152876524582,0.8681692274421609,0.7419001164938017,Infrastructure,1
8,dd-1633-D/Long/short,toto_v2_umup_capk1e4,1.435124969482422,1.435124969482422,0.9354999542236329,3.1899663747395306,0.9944448471069336,1.8812095375790665,27.444334582371518,1.1979670151896595,1.2980428916884674,1.0136498337248667,0.855714181384757,Infrastructure,1
9,dd-1640-D/Long/short,toto_v2_umup_capk1e4,0.3434836069742839,0.3434836069742839,0.47486890157063805,1.5158281631338217,0.42424697875976564,0.31887112133361545,22.38299726368085,0.586074745211124,0.3805465178329704,0.3083390103335302,0.3070387166582827,Infrastructure,2
10,dd-1641-30T/Short/short,toto_v2_umup_capk1e4,2.5167769744851335e-20,2.5167769744851335e-20,9.387587990911723e-11,,0.0,0.8666666666666667,,1.5864353042230035e-10,2.799591713334712e-10,1.6566331748667747e-10,1.2871944170161085e-10,Application Usage,30
