dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ds-1620-D/Long/short,toto_2.0_313m,1.0260164250088275,1.0260164250088275,0.5488418837725106,1.3825048032386382,3.0645469191384183,0.810858789271247,14.937721633656246,1.0129246887152212,1.0642039590173862,0.5766269813465639,0.4785204914730447,Database,59
ds-1621-D/Long/short,toto_2.0_313m,1.073558837890625,1.073558837890625,0.4291585286458333,0.5373039891404963,0.889810546875,0.8370156305356686,6.9354189175030685,1.0361268444985994,1.9179937936302096,0.7944233843535877,0.6467976814401538,Application Usage,100
ds-1622-D/Long/short,toto_2.0_313m,0.5383124457465278,0.5383124457465278,0.2626091851128472,0.7413877519052082,0.6234456864614335,0.5026647589381538,8.18685904936258,0.733697789111108,1.7801911419745755,0.6371758945947388,0.534528719806977,"Networking, Application Usage",21
ds-1625-D/Long/short,toto_2.0_313m,1.682477060953776,1.682477060953776,0.833062744140625,1.0191915053125078,2.109785715738932,1.0836937581574475,11.51537659980039,1.297103334724638,1.2993058196033218,0.8344772868743033,0.6740979863359401,Application Usage,8
ds-1626-D/Long/short,toto_2.0_313m,0.0432595133781433,0.0432595133781433,0.0559170921643575,0.2978096097131275,0.3002965927124023,0.1613697549537897,11.477913107682657,0.2079892145716775,1.709880875838096,0.4596948294708876,0.7751355464247776,Infrastructure,1
ds-1627-H/Medium/short,toto_2.0_313m,3.790476057474734e-07,3.790476057474734e-07,0.0004981166372696,0.0015005402625723,0.0012667786019543,0.0012679357079772,0.0260951110063852,0.0006156684219183,0.0015661468566238,0.0012671168082018,0.0013628849016447,Infrastructure,1
ds-1629-D/Long/short,toto_2.0_313m,1.0808788755404874,1.0808788755404874,0.6783869521422956,2.803896985099469,1.7857744324882074,0.8003060184029601,23.444639868930395,1.0396532477419995,0.8768713248429714,0.5721696794322141,0.4564293066975964,Infrastructure,53
ds-1630-D/Long/short,toto_2.0_313m,0.3344182014465332,0.3344182014465332,0.4187456130981445,1.545662469383452,1.3089466094970703,0.9537914294018556,14.987906333279849,0.57828902933268,1.1625484421801169,0.8418144482850822,0.7514317602886743,Infrastructure,1
ds-1633-D/Long/short,toto_2.0_313m,1.4247604370117188,1.4247604370117188,0.928779411315918,3.1670499665638303,0.9681406656901042,1.8576329872550612,29.596050908675956,1.1936332925198252,1.293347138103602,1.0063678694979423,0.8600860602695743,Infrastructure,1
ds-1640-D/Long/short,toto_2.0_313m,0.3544801076253255,0.3544801076253255,0.4707981427510579,1.5059301916525731,0.4412408192952474,0.315585472638975,28.9404304164522,0.5953823205515306,0.3865900565013766,0.3056958097752618,0.3484507239940641,Infrastructure,2
ds-1641-30T/Short/short,toto_2.0_313m,9.492309683274817e-22,9.492309683274817e-22,1.736230542053679e-11,,0.0,0.8666666666666667,,3.0809592148022366e-11,5.4369868496510074e-11,3.0639362506829624e-11,2.6562738469513516e-11,Application Usage,30
ds-1642-30T/Short/short,toto_2.0_313m,9.492309683274817e-22,9.492309683274817e-22,1.736230418695565e-11,,0.0,0.8666666666666667,,3.0809592148022366e-11,5.4369868496510074e-11,3.0639360329921726e-11,2.6562738469513516e-11,Application Usage,30
ds-1643-30T/Short/short,toto_2.0_313m,5.841421674956225e-22,5.841421674956225e-22,1.0684495263843826e-11,,0.0,0.5333333333333333,,2.416903323460875e-11,3.29577725926483e-11,1.4569766268877945e-11,1.263123227920922e-11,Application Usage,30
ds-1646-D/Long/short,toto_2.0_313m,0.8939018249511719,0.8939018249511719,0.8269425710042317,2.1714017192163357,0.8080079396565755,0.8806430651980236,19.63267448490065,0.9454638147233198,0.7531221094753284,0.658712394690548,0.5389360033467542,Infrastructure,1
ds-1647-D/Long/short,toto_2.0_313m,0.0001522615396728,0.0001522615396728,0.009141793847084,0.0504471602112983,0.1088754415512085,0.1006005939862379,0.3702064445459294,0.0123394302815329,0.1295259905968912,0.0959606624341675,0.0761306613548257,Infrastructure,1
ds-1653-D/Long/short,toto_2.0_313m,0.0007824345181385,0.0007824345181385,0.0101316650708516,0.043470402991971,0.3155048370361328,0.113700859366061,0.5157065073210744,0.0279720309977407,0.2348713784682846,0.0850720543517951,0.0757952469257071,"Database, Application Usage",1
ds-1654-D/Long/short,toto_2.0_313m,1.091327158610026,1.091327158610026,0.51527894337972,1.1796021446166705,1.138845952351888,0.8958457115994688,13.9570453162867,1.0446660512383974,1.6682479442219964,0.8228591682242127,0.6797522727440276,"Database, Application Usage",1
ds-1656-D/Long/short,toto_2.0_313m,4.025859069824219,4.025859069824219,0.8351340611775716,3.474147976837436,12.973453776041667,0.9538048612959638,60.97378515636312,2.006454352788575,2.2578335313385054,0.9397640588578662,0.8389440523131171,"Database, Application Usage",1
ds-1665-D/Long/short,toto_2.0_313m,0.2529934883117676,0.2529934883117676,0.4448473930358886,1.1287465131461036,2.1504643758138022,1.6282293993372283,13.878670112780693,0.5029845805904666,1.5008706683097917,1.327393383109004,0.9263600110732664,Database,1
ds-1666-D/Long/short,toto_2.0_313m,0.2530715783437093,0.2530715783437093,0.4449212710062663,1.1289512299843318,2.149888865152995,1.6282609105582169,13.87927990922466,0.503062201267109,1.500852288780659,1.3273927284439246,0.9263217830796616,Database,1
ds-1667-D/Long/short,toto_2.0_313m,2.1886871337890623,2.1886871337890623,1.146176783243815,2.964741595328631,14.966653442382812,1.2314791579252218,20.349368434087996,1.4794212158101094,1.4468555951285864,1.120946674361912,0.8595458168389879,Application Usage,1
ds-1668-D/Long/short,toto_2.0_313m,0.3103814442952474,0.3103814442952474,0.4824247042338053,1.5389069138033444,1.6470995585123698,0.6656037547539775,8.685923791823305,0.5571188780639617,0.8671563327943279,0.7508947440922051,0.4723617015951134,Application Usage,4
ds-1671-D/Long/short,toto_2.0_313m,0.9655486424763996,0.9655486424763996,0.7387423833211263,7.705904295327747,0.4875946362813314,0.8151611988159875,36.6104515910074,0.9826233472070566,0.982968134499412,0.7390015965657714,0.6211677341280348,Database,1
