,dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
0,dd-1620-D/Long/short,toto_v2_umup_capk1e4,1.0787437654484464,1.0787437654484464,0.5700039103879767,1.4238476902624735,2.977154506532486,0.8484906623778856,15.845070474195522,1.0386259025503102,1.0912062957355741,0.5988603346806358,0.498952957761532,Database,59
1,dd-1621-D/Long/short,toto_v2_umup_capk1e4,1.0685912272135416,1.0685912272135416,0.4292580159505208,0.5359219713143949,0.9027215983072917,0.8427037632187055,6.864033396439998,1.0337268629640721,1.9135511428944516,0.7946075471652636,0.652590682657555,Application Usage,100
2,dd-1622-D/Long/short,toto_v2_umup_capk1e4,0.540137687562004,0.540137687562004,0.2623014904203869,0.7268938469453865,0.5732329837859623,0.5047332916524108,7.689402315995281,0.7349406013835431,1.783206611601664,0.6364293264926132,0.5320627791545542,"Networking, Application Usage",21
3,dd-1625-D/Long/short,toto_v2_umup_capk1e4,1.6787826538085937,1.6787826538085937,0.8380050659179688,1.0295057150614109,2.659734344482422,1.1111434610341158,11.039415047793959,1.2956784530926622,1.2978785185185822,0.8394280007270422,0.6783459768804713,Application Usage,8
4,dd-1626-D/Long/short,toto_v2_umup_capk1e4,0.02796038587888082,0.02796038587888082,0.03589897950490316,0.19119487203481272,0.09262987772623697,0.12017340094952776,7.3184057090161625,0.16721359358282095,1.3746641932190038,0.29512577680504576,0.31280554905293834,Infrastructure,1
5,dd-1627-H/Medium/short,toto_v2_umup_capk1e4,4.934932652152687e-07,4.934932652152687e-07,0.0005621300078928471,0.0017057020815966243,0.001429975964128971,0.0014299209491621884,0.023227615097136205,0.0007024907580995416,0.0017870068586216235,0.0014299550107379562,0.0014163796347904346,Infrastructure,1
6,dd-1629-D/Long/short,toto_v2_umup_capk1e4,1.063404011276533,1.063404011276533,0.6674274180670204,2.733862210149318,1.6789662870970912,0.7931510795251865,23.184052303613917,1.031214823049268,0.8697541320135604,0.5629261155948287,0.453684742317979,Infrastructure,53
7,dd-1630-D/Long/short,toto_v2_umup_capk1e4,0.3368755022684733,0.3368755022684733,0.41950645446777346,1.54847075821825,1.1641400655110676,1.0072494855795646,15.370820215085278,0.5804097709967272,1.1668118205130058,0.8433439861184887,0.7641812346671475,Infrastructure,1
8,dd-1633-D/Long/short,toto_v2_umup_capk1e4,1.4485897064208983,1.4485897064208983,0.9416877746582031,3.211065975766091,1.014136505126953,1.8288315402267386,24.780826107427103,1.203573722885681,1.304117973037384,1.020354572860666,0.8515696345164855,Infrastructure,1
9,dd-1640-D/Long/short,toto_v2_umup_capk1e4,0.3637466748555501,0.3637466748555501,0.48471832275390625,1.549642257777545,0.5139946619669596,0.32544964251592756,22.718911699512354,0.6031141474510029,0.39161043969844056,0.31473437707572416,0.31490503975119116,Infrastructure,2
10,dd-1641-30T/Short/short,toto_v2_umup_capk1e4,4.442170705579764e-21,4.442170705579764e-21,3.6131256011786817e-11,,0.0,0.8666666666666667,,6.66496114435768e-11,1.176169613710179e-10,6.376104002080027e-11,5.2524869507205564e-11,Application Usage,30
11,dd-1642-30T/Short/short,toto_v2_umup_capk1e4,4.442170705579764e-21,4.442170705579764e-21,3.6131256011786817e-11,,0.0,0.8666666666666667,,6.66496114435768e-11,1.176169613710179e-10,6.376104002080027e-11,5.2524869507205564e-11,Application Usage,30
12,dd-1643-30T/Short/short,toto_v2_umup_capk1e4,2.7336435111260084e-21,2.7336435111260084e-21,2.2234619084176505e-11,,0.0,0.5333333333333333,,5.228425681910386e-11,7.129671384423254e-11,3.031993511478614e-11,2.4976861024405442e-11,Application Usage,30
13,dd-1646-D/Long/short,toto_v2_umup_capk1e4,0.8960530598958333,0.8960530598958333,0.8133159637451172,2.135620688920784,0.7841699600219727,0.8713270277837251,22.36567834248739,0.9466007922539645,0.7540277844498443,0.6478579346423023,0.5443435943991807,Infrastructure,1
14,dd-1647-D/Long/short,toto_v2_umup_capk1e4,0.00015642683332165082,0.00015642683332165082,0.009393833080927531,0.051837999314602055,0.11043492158253988,0.10326981441310092,0.370707698321421,0.012507071332716177,0.13128570500215928,0.0986062976610804,0.07981859076730971,Infrastructure,1
15,dd-1653-D/Long/short,toto_v2_umup_capk1e4,0.0007857623199621837,0.0007857623199621837,0.010946462551752726,0.046966328029733766,0.3219056765238444,0.12025237567810063,0.4904288344310495,0.02803145233415821,0.23537031868452887,0.09191362433029185,0.08227943325887832,"Database, Application Usage",1
16,dd-1654-D/Long/short,toto_v2_umup_capk1e4,1.1064554850260417,1.1064554850260417,0.529593022664388,1.2123706772064784,1.223266855875651,0.9361093539738711,13.107242006703501,1.0518818778865058,1.6797710409640596,0.8457176054365354,0.6997146885200077,"Database, Application Usage",1
